id,restaurant_id,title,logo,cover,compact,forRamadan,forHalfReady,index,isActive,type,sub_id,sub_id,sub_title,sub_description,sub_img,sub_priceLabel,sub_index,sub_food_id,sub_food_img,sub_food_archive,sub_food_ingredient,sub_food_title,sub_food_stock,sub_food_available,sub_food_unavailableText,sub_food_price,sub_food_discount,sub_food_discountPercentage,sub_food_index,sub_food_foodTag,sub_food_saleOnRamadan,sub_food_saleOnBreakfast,sub_food_saleOnNoon,sub_food_saleOnNight,sub_food_saturday,sub_food_sunday,sub_food_monday,sub_food_tuesday,sub_food_wedensday,sub_food_thursday,sub_food_thursday,sub_food_friday,sub_food_delinoRecommendation,sub_food_halfReady,sub_food_pickupOnly
24062,e695c5db-f227-4450-ba84-d6a47371b0d5,کنتاکی,20,,False,False,False,2,False,,0,0,,,,,0,289313,,False,250 گرم سینه ،  همراه با پودر کنتاکی تشکیل شده از 30 نوع ادویه خاص کوهی، نان،سس مخصوص,250 گرم سینه,True,True,همه روزه در وعد‌ه‌های ناهار و شام,70000,0,0,1,[],False,False,True,True,True,True,True,True,True,True,True,True,False,False,False
24062,e695c5db-f227-4450-ba84-d6a47371b0d5,کنتاکی,20,,False,False,False,2,False,,0,0,,,,,0,289312,https://static.delino.com/Image/Restaurant/Food/kgeklnh4.m2n_#SIZEOFIMAGE#.jpg,True,ران ،  همراه با پودر کنتاکی تشکیل شده از 30 نوع ادویه خاص کوهی،نان، سس مخصوص ,1 کیلوگرم ران کنتاکی ,True,True,همه روزه در وعد‌ه‌های ناهار و شام,175000,0,0,1,[],False,False,True,True,True,True,True,True,True,True,True,True,False,False,False
24062,e695c5db-f227-4450-ba84-d6a47371b0d5,کنتاکی,20,,False,False,False,2,False,,0,0,,,,,0,289311,https://static.delino.com/Image/Restaurant/Food/35gxnic1.ba3_#SIZEOFIMAGE#.jpg,True,ران   همراه با پودر کنتاکی تشکیل شده از 30 نوع ادویه خاص کوهی،نان ، سس مخصوص,500 گرم ران,True,True,همه روزه در وعد‌ه‌های ناهار و شام,95000,0,0,1,[],False,False,True,True,True,True,True,True,True,True,True,True,False,False,False
24062,e695c5db-f227-4450-ba84-d6a47371b0d5,کنتاکی,20,,False,False,False,2,False,,0,0,,,,,0,289310,https://static.delino.com/Image/Restaurant/Food/ea53w44b.tyu_#SIZEOFIMAGE#.jpg,True,ران  همراه با پودر کنتاکی تشکیل شده از 30 نوع ادویه خاص کوهی، نان، سس مخصوص,250 گرم ران کنتاکی,True,True,همه روزه در وعد‌ه‌های ناهار و شام,60000,0,0,1,[],False,False,True,True,True,True,True,True,True,True,True,True,False,False,False
24062,e695c5db-f227-4450-ba84-d6a47371b0d5,کنتاکی,20,,False,False,False,2,False,,0,0,,,,,0,289308,,False,1کیلوگرم فیله با پودر سوخاری همراه با نان وسس,1 کیلو گرم فیله کنتاکی,False,False,عدم موجودی,275000,0,0,100000,[],False,False,True,True,True,True,True,True,True,True,True,True,False,False,False
24062,e695c5db-f227-4450-ba84-d6a47371b0d5,کنتاکی,20,,False,False,False,2,False,,0,0,,,,,0,289307,,False,500 گرم فیله تازه مرغ، با پودر کنتاکی، نان، سس مخصوص,500 گرم فیله کنتکی ,True,True,همه روزه در وعد‌ه‌های ناهار و شام,175000,0,0,1,[],False,False,True,True,True,True,True,True,True,True,True,True,False,False,False
24062,e695c5db-f227-4450-ba84-d6a47371b0d5,کنتاکی,20,,False,False,False,2,False,,0,0,,,,,0,289306,https://static.delino.com/Image/Restaurant/Food/u11oom3i.vuv_#SIZEOFIMAGE#.jpg,True,250 گرم فیله تازه مرغ با پودر کنتاکی،  سس مخصوص، نان,250 گرم فیله کنتاکی,True,True,همه روزه در وعد‌ه‌های ناهار و شام,75000,0,0,1,[],False,False,True,True,True,True,True,True,True,True,True,True,False,False,False
24062,e695c5db-f227-4450-ba84-d6a47371b0d5,کنتاکی,20,,False,False,False,2,False,,0,0,,,,,0,526468,,False,,سه تکه کنتاکی,True,True,همه روزه در وعد‌ه‌های ناهار و شام,140000,0,0,1,[],False,False,True,True,True,True,True,True,True,True,True,True,False,False,False
24062,e695c5db-f227-4450-ba84-d6a47371b0d5,کنتاکی,20,,False,False,False,2,False,,0,0,,,,,0,526466,,False,,دو تکه کنتاکی,True,True,همه روزه در وعد‌ه‌های ناهار و شام,100000,0,0,1,[],False,False,True,True,True,True,True,True,True,True,True,True,False,False,False
24062,e695c5db-f227-4450-ba84-d6a47371b0d5,کنتاکی,20,,False,False,False,2,False,,0,0,,,,,0,370398,https://static.delino.com/Image/Restaurant/Food/usbxliio.d1g_#SIZEOFIMAGE#.jpg,True,مرغ کامل، همراه با پودر کنتاکی تشکیل شده از 30 نوع ادویه خاص کوهی، سیب زمینی سرخ شده، سالاد کلم، سس مخصوص,مرغ کامل سوخاری,True,True,همه روزه در وعد‌ه‌های ناهار و شام,215000,0,0,1,[],False,False,True,True,True,True,True,True,True,True,True,True,False,False,False
